# sieving primes up to 2251500
# loaded 166169 primes up to 2251500
# P	|E(P)|	P-1	|E|/P	|E|*logP/P	max_row	row_mean
7	0	6	0.0000	0.0000	2	1.8333
11	0	10	0.0000	0.0000	4	2.5000
13	0	12	0.0000	0.0000	3	2.7500
17	0	16	0.0000	0.0000	4	3.3750
19	0	18	0.0000	0.0000	6	3.5556
23	0	22	0.0000	0.0000	6	4.0909
29	0	28	0.0000	0.0000	7	4.8571
31	0	30	0.0000	0.0000	7	5.0333
37	0	36	0.0000	0.0000	9	5.7500
41	0	40	0.0000	0.0000	9	6.2500
43	0	42	0.0000	0.0000	9	6.4048
47	0	46	0.0000	0.0000	10	6.8261
53	0	52	0.0000	0.0000	11	7.5577
59	0	58	0.0000	0.0000	13	8.1034
61	0	60	0.0000	0.0000	12	8.3500
67	0	66	0.0000	0.0000	14	8.9394
71	0	70	0.0000	0.0000	14	9.3571
73	0	72	0.0000	0.0000	14	9.5000
79	0	78	0.0000	0.0000	16	10.1154
83	0	82	0.0000	0.0000	16	10.5244
89	0	88	0.0000	0.0000	16	11.0909
97	0	96	0.0000	0.0000	19	11.8542
101	0	100	0.0000	0.0000	20	12.2600
103	0	102	0.0000	0.0000	19	12.4216
107	0	106	0.0000	0.0000	19	12.7642
109	0	108	0.0000	0.0000	19	12.9074
113	0	112	0.0000	0.0000	20	13.3304
127	0	126	0.0000	0.0000	23	14.6508
131	0	130	0.0000	0.0000	23	14.9538
137	0	136	0.0000	0.0000	25	15.5000
139	0	138	0.0000	0.0000	25	15.6232
149	0	148	0.0000	0.0000	27	16.5811
151	0	150	0.0000	0.0000	26	16.7400
157	0	156	0.0000	0.0000	28	17.2564
163	0	162	0.0000	0.0000	28	17.7593
167	0	166	0.0000	0.0000	28	18.0964
173	0	172	0.0000	0.0000	29	18.6105
179	0	178	0.0000	0.0000	30	19.0730
181	0	180	0.0000	0.0000	30	19.2778
191	0	190	0.0000	0.0000	32	20.1316
193	0	192	0.0000	0.0000	32	20.3177
197	0	196	0.0000	0.0000	32	20.6327
199	0	198	0.0000	0.0000	32	20.7980
211	0	210	0.0000	0.0000	35	21.8095
223	0	222	0.0000	0.0000	38	22.7838
227	0	226	0.0000	0.0000	38	23.1195
229	0	228	0.0000	0.0000	38	23.2719
233	0	232	0.0000	0.0000	39	23.5819
239	0	238	0.0000	0.0000	39	24.1176
241	0	240	0.0000	0.0000	39	24.2875
251	0	250	0.0000	0.0000	41	25.0640
257	0	256	0.0000	0.0000	42	25.5469
263	0	262	0.0000	0.0000	43	26.0038
269	0	268	0.0000	0.0000	42	26.5075
271	0	270	0.0000	0.0000	42	26.6444
277	0	276	0.0000	0.0000	44	27.1196
281	0	280	0.0000	0.0000	44	27.4393
283	0	282	0.0000	0.0000	43	27.5922
293	0	292	0.0000	0.0000	45	28.3973
307	0	306	0.0000	0.0000	49	29.4967
311	0	310	0.0000	0.0000	50	29.8226
313	0	312	0.0000	0.0000	49	29.9712
317	0	316	0.0000	0.0000	49	30.2690
331	0	330	0.0000	0.0000	54	31.3576
337	0	336	0.0000	0.0000	54	31.8095
347	0	346	0.0000	0.0000	56	32.5607
349	0	348	0.0000	0.0000	55	32.7299
353	0	352	0.0000	0.0000	55	33.0398
359	0	358	0.0000	0.0000	55	33.4972
367	0	366	0.0000	0.0000	57	34.0984
373	0	372	0.0000	0.0000	58	34.5699
379	0	378	0.0000	0.0000	59	35.0238
383	0	382	0.0000	0.0000	59	35.3141
389	0	388	0.0000	0.0000	60	35.7809
397	0	396	0.0000	0.0000	60	36.3939
401	0	400	0.0000	0.0000	60	36.6825
409	0	408	0.0000	0.0000	61	37.2623
419	0	418	0.0000	0.0000	64	37.9713
421	0	420	0.0000	0.0000	64	38.1476
431	0	430	0.0000	0.0000	66	38.9070
433	0	432	0.0000	0.0000	66	39.0741
439	0	438	0.0000	0.0000	66	39.5046
443	0	442	0.0000	0.0000	67	39.8009
449	0	448	0.0000	0.0000	67	40.2254
457	0	456	0.0000	0.0000	68	40.8311
461	0	460	0.0000	0.0000	68	41.1370
463	0	462	0.0000	0.0000	67	41.2706
467	0	466	0.0000	0.0000	67	41.5451
479	0	478	0.0000	0.0000	70	42.4540
487	0	486	0.0000	0.0000	71	43.0123
491	0	490	0.0000	0.0000	71	43.2980
499	0	498	0.0000	0.0000	73	43.9137
503	0	502	0.0000	0.0000	72	44.1952
509	0	508	0.0000	0.0000	73	44.6220
521	0	520	0.0000	0.0000	77	45.5038
523	0	522	0.0000	0.0000	76	45.6437
541	0	540	0.0000	0.0000	80	46.9222
547	0	546	0.0000	0.0000	82	47.3168
557	0	556	0.0000	0.0000	84	48.0540
563	0	562	0.0000	0.0000	85	48.4929
569	0	568	0.0000	0.0000	85	48.9419
571	0	570	0.0000	0.0000	84	49.1000
577	0	576	0.0000	0.0000	85	49.5243
587	0	586	0.0000	0.0000	86	50.2338
593	0	592	0.0000	0.0000	86	50.6672
599	0	598	0.0000	0.0000	87	51.1003
601	0	600	0.0000	0.0000	87	51.2083
607	0	606	0.0000	0.0000	87	51.6601
613	0	612	0.0000	0.0000	88	52.0605
617	0	616	0.0000	0.0000	89	52.3312
619	0	618	0.0000	0.0000	89	52.4660
631	0	630	0.0000	0.0000	90	53.3302
641	0	640	0.0000	0.0000	91	54.0078
643	0	642	0.0000	0.0000	91	54.1402
647	0	646	0.0000	0.0000	92	54.4272
653	0	652	0.0000	0.0000	94	54.8482
659	0	658	0.0000	0.0000	94	55.2933
661	0	660	0.0000	0.0000	95	55.4439
673	0	672	0.0000	0.0000	95	56.2664
677	0	676	0.0000	0.0000	94	56.5296
683	0	682	0.0000	0.0000	94	56.9296
691	0	690	0.0000	0.0000	96	57.5130
701	0	700	0.0000	0.0000	96	58.2114
709	0	708	0.0000	0.0000	96	58.7712
719	0	718	0.0000	0.0000	99	59.4596
727	0	726	0.0000	0.0000	102	60.0358
733	0	732	0.0000	0.0000	102	60.4522
739	0	738	0.0000	0.0000	102	60.8388
743	0	742	0.0000	0.0000	103	61.1173
751	0	750	0.0000	0.0000	106	61.6480
757	0	756	0.0000	0.0000	106	62.0767
761	0	760	0.0000	0.0000	105	62.3487
769	0	768	0.0000	0.0000	106	62.9036
773	0	772	0.0000	0.0000	106	63.1852
787	0	786	0.0000	0.0000	110	64.1603
797	0	796	0.0000	0.0000	111	64.8128
809	0	808	0.0000	0.0000	115	65.6139
811	0	810	0.0000	0.0000	116	65.7481
821	0	820	0.0000	0.0000	117	66.4293
823	0	822	0.0000	0.0000	116	66.5633
827	0	826	0.0000	0.0000	115	66.8426
829	0	828	0.0000	0.0000	115	66.9771
839	0	838	0.0000	0.0000	117	67.6492
853	0	852	0.0000	0.0000	119	68.6162
857	0	856	0.0000	0.0000	119	68.8843
859	0	858	0.0000	0.0000	118	69.0245
863	0	862	0.0000	0.0000	119	69.2715
877	0	876	0.0000	0.0000	122	70.2272
881	0	880	0.0000	0.0000	122	70.4886
883	0	882	0.0000	0.0000	121	70.6247
887	0	886	0.0000	0.0000	120	70.8962
907	0	906	0.0000	0.0000	125	72.2528
