scope beta windows closed exits classified exit_counts closed_selected exit_selected min_closed_source_margin min_exit_res_margin
hotband-total 0.950000 18 11 7 True {'C13Closed': 11, 'SlackFloorExit': 7} 5003:8192:-36,5003:8192:-180,5003:8192:-360,10007:16384:-900,10007:16384:-180,10007:16384:-360,10007:16384:-252,10007:16384:-540,10007:16384:-504,10007:16384:-396,10007:16384:-720 5003:8192:-144,5003:8192:-288,5003:8192:-216,10007:16384:-72,10007:16384:-1800,10007:16384:-144,10007:16384:-108 8.340921 -858.879113
p block shift hot_count hot_ratio exit_type syntax ratio local full slack res active_template source_exact small_finite formal_margin res_margin template_margin source_margin
5003 8192 -36 641 1.000000 C13Closed True True True True True True True True True 411.727367 101.727367 66.727367 8.340921
5003 8192 -180 615 0.959438 C13Closed True True True True True True True True True 1574.440962 1412.440962 1222.440962 152.805120
5003 8192 -144 613 0.956318 SlackFloorExit True True False False False False False False False -140.794274 -322.794274 -428.794274 -53.599284
5003 8192 -288 613 0.956318 SlackFloorExit True True False False False False False False False -376.338560 -606.338560 -669.338560 -83.667320
5003 8192 -216 612 0.954758 SlackFloorExit True True False False False False False False False -86.573682 -265.573682 -388.573682 -48.571710
5003 8192 -360 609 0.950078 C13Closed True True True True True True True True True 1140.923488 871.923488 732.923488 91.615436
10007 16384 -900 1278 1.000000 C13Closed True True True True True True True True True 1599.236350 1234.236350 1095.236350 136.904544
10007 16384 -180 1247 0.975743 C13Closed True True True True True True True True True 2671.770914 2514.770914 2359.770914 294.971364
10007 16384 -72 1239 0.969484 SlackFloorExit True True False False False False False False False -270.746594 -529.746594 -570.746594 -71.343324
10007 16384 -360 1232 0.964006 C13Closed True True True True True True True True True 1522.337534 1370.337534 1210.337534 151.292192
10007 16384 -252 1225 0.958529 C13Closed True True True True True True True True True 1348.805562 1201.805562 1124.805562 140.600695
10007 16384 -540 1225 0.958529 C13Closed True True True True True True True True True 2110.584283 1897.584283 1734.584283 216.823035
10007 16384 -1800 1225 0.958529 SlackFloorExit True True False False False False False False False 269.328990 -178.671010 -234.671010 -29.333876
10007 16384 -144 1222 0.956182 SlackFloorExit True True False False False False False False False -686.879113 -858.879113 -910.879113 -113.859889
10007 16384 -504 1222 0.956182 C13Closed True True True True True True True True True 691.846959 492.846959 379.846959 47.480870
10007 16384 -396 1216 0.951487 C13Closed True True True True True True True True True 545.274857 388.274857 241.274857 30.159357
10007 16384 -720 1216 0.951487 C13Closed True True True True True True True True True 870.290316 602.290316 502.290316 62.786290
10007 16384 -108 1215 0.950704 SlackFloorExit True True False False False False False False False -103.569140 -304.569140 -351.569140 -43.946143
