scope beta classifier_windows slack_exits carriers all_carrier endpoint_records endpoint_keys failure_records failure_keys failure_mass min_slack max_required_C handler_routes endpoint_routes contract_pass global_closed status
slack-exit-handler 0.900000 51 27 27 True 697 346 5 5 22 -7 1.355277 {'AlphaTailHotband/EndpointNoFailure': 24, 'DirectedEndpointCRTDefect/PDEC': 3} {'DirectedEndpointCRTDefect/PDEC': 5, 'NearThresholdWatchOnly': 341} True False slack_floor_exits_routed_with_pdec_or_sae_obligation
p block shift hot_count hot_ratio carrier_count carrier_ratio energy_share handler_route failure_records failure_mass failure_key_count res_margin source_margin
5003 8192 -144 613 0.956318 613 0.956318 0.000556 AlphaTailHotband/EndpointNoFailure 0 0 0 -322.794274 -53.599284
5003 8192 -288 613 0.956318 613 0.956318 0.000556 AlphaTailHotband/EndpointNoFailure 0 0 0 -606.338560 -83.667320
5003 8192 -216 612 0.954758 612 0.954758 0.000554 AlphaTailHotband/EndpointNoFailure 0 0 0 -265.573682 -48.571710
5003 8192 -72 603 0.940718 603 0.940718 0.000538 AlphaTailHotband/EndpointNoFailure 0 0 0 -220.780771 -35.222596
5003 8192 -432 603 0.940718 603 0.940718 0.000538 DirectedEndpointCRTDefect/PDEC 1 2 1 -495.222412 -72.777802
5003 8192 -108 597 0.931357 597 0.931357 0.000527 AlphaTailHotband/EndpointNoFailure 0 0 0 -61.829509 -19.478689
5003 8192 -324 593 0.925117 593 0.925117 0.000520 AlphaTailHotband/EndpointNoFailure 0 0 0 -303.373498 -51.921687
5003 8192 -504 580 0.904836 580 0.904836 0.000497 AlphaTailHotband/EndpointNoFailure 0 0 0 -11.240364 -13.405045
10007 16384 -72 1239 0.969484 1239 0.969484 0.000268 AlphaTailHotband/EndpointNoFailure 0 0 0 -529.746594 -71.343324
10007 16384 -1800 1225 0.958529 1225 0.958529 0.000262 DirectedEndpointCRTDefect/PDEC 1 3 1 -178.671010 -29.333876
10007 16384 -144 1222 0.956182 1222 0.956182 0.000261 AlphaTailHotband/EndpointNoFailure 0 0 0 -858.879113 -113.859889
10007 16384 -108 1215 0.950704 1215 0.950704 0.000258 AlphaTailHotband/EndpointNoFailure 0 0 0 -304.569140 -43.946143
10007 16384 -36 1205 0.942879 1205 0.942879 0.000254 AlphaTailHotband/EndpointNoFailure 0 0 0 -79.266849 -13.408356
10007 16384 -324 1199 0.938185 1199 0.938185 0.000251 AlphaTailHotband/EndpointNoFailure 0 0 0 -466.079790 -64.384974
10007 16384 -828 1195 0.935055 1195 0.935055 0.000250 AlphaTailHotband/EndpointNoFailure 0 0 0 -247.635432 -46.704429
10007 16384 -432 1193 0.933490 1193 0.933490 0.000249 AlphaTailHotband/EndpointNoFailure 0 0 0 -1449.652705 -193.956588
10007 16384 -288 1183 0.925665 1183 0.925665 0.000245 AlphaTailHotband/EndpointNoFailure 0 0 0 -1006.017114 -137.752139
10007 16384 -936 1177 0.920970 1177 0.920970 0.000242 AlphaTailHotband/EndpointNoFailure 0 0 0 -768.026327 -104.753291
10007 16384 -216 1176 0.920188 1176 0.920188 0.000242 AlphaTailHotband/EndpointNoFailure 0 0 0 -1049.531762 -132.941470
10007 16384 -864 1173 0.917840 1173 0.917840 0.000241 AlphaTailHotband/EndpointNoFailure 0 0 0 -1544.548401 -206.943550
10007 16384 -1764 1171 0.916275 1171 0.916275 0.000240 DirectedEndpointCRTDefect/PDEC 3 17 3 -186.848334 -24.981042
10007 16384 -576 1169 0.914710 1169 0.914710 0.000239 AlphaTailHotband/EndpointNoFailure 0 0 0 -1426.666406 -190.833301
10007 16384 -972 1168 0.913928 1168 0.913928 0.000239 AlphaTailHotband/EndpointNoFailure 0 0 0 -699.289003 -93.411125
10007 16384 -648 1166 0.912363 1166 0.912363 0.000238 AlphaTailHotband/EndpointNoFailure 0 0 0 -1276.704331 -174.838041
10007 16384 -1440 1166 0.912363 1166 0.912363 0.000238 AlphaTailHotband/EndpointNoFailure 0 0 0 -22.503662 -16.812958
10007 16384 -792 1165 0.911581 1165 0.911581 0.000237 AlphaTailHotband/EndpointNoFailure 0 0 0 -303.355036 -57.669379
10007 16384 -1008 1159 0.906886 1159 0.906886 0.000235 AlphaTailHotband/EndpointNoFailure 0 0 0 -362.671679 -54.958960
