scope beta classifier_windows slack_exits carriers all_carrier endpoint_records endpoint_keys failure_records failure_keys failure_mass min_slack max_required_C handler_routes endpoint_routes contract_pass global_closed status
slack-exit-handler 0.950000 29 10 10 True 199 110 1 1 3 -2 1.319628 {'AlphaTailHotband/EndpointNoFailure': 9, 'DirectedEndpointCRTDefect/PDEC': 1} {'DirectedEndpointCRTDefect/PDEC': 1, 'NearThresholdWatchOnly': 109} True False slack_floor_exits_routed_with_pdec_or_sae_obligation
p block shift hot_count hot_ratio carrier_count carrier_ratio energy_share handler_route failure_records failure_mass failure_key_count res_margin source_margin
5003 8192 -144 613 0.956318 613 0.956318 0.000556 AlphaTailHotband/EndpointNoFailure 0 0 0 -322.794274 -53.599284
5003 8192 -288 613 0.956318 613 0.956318 0.000556 AlphaTailHotband/EndpointNoFailure 0 0 0 -606.338560 -83.667320
5003 8192 -216 612 0.954758 612 0.954758 0.000554 AlphaTailHotband/EndpointNoFailure 0 0 0 -265.573682 -48.571710
10007 16384 -72 1239 0.969484 1239 0.969484 0.000268 AlphaTailHotband/EndpointNoFailure 0 0 0 -529.746594 -71.343324
10007 16384 -1800 1225 0.958529 1225 0.958529 0.000262 DirectedEndpointCRTDefect/PDEC 1 3 1 -178.671010 -29.333876
10007 16384 -144 1222 0.956182 1222 0.956182 0.000261 AlphaTailHotband/EndpointNoFailure 0 0 0 -858.879113 -113.859889
10007 16384 -108 1215 0.950704 1215 0.950704 0.000258 AlphaTailHotband/EndpointNoFailure 0 0 0 -304.569140 -43.946143
20011 32768 -396 2617 0.954761 2617 0.954761 0.000130 AlphaTailHotband/EndpointNoFailure 0 0 0 -54.895471 -18.736934
20011 32768 -36 2612 0.952937 2612 0.952937 0.000130 AlphaTailHotband/EndpointNoFailure 0 0 0 -784.863413 -99.857927
20011 32768 -504 2605 0.950383 2605 0.950383 0.000129 AlphaTailHotband/EndpointNoFailure 0 0 0 -298.065616 -49.383202
