P,log_P,capacity,need,witness_X,margin
7,1.9459101490553132,2.4066659637640133,2.2051533028265635,6,0.2015126609374498
11,2.3978952727983707,9.288948438302738,2.2051533028265635,6,7.083795135476175
13,2.5649493574615367,13.228352520044313,3.3007747568279298,12,9.927577763216384
17,2.833213344056216,21.615935381755587,3.3007747568279298,12,18.315160624927657
19,2.9444389791664403,25.96489098761024,3.3007747568279298,12,22.66411623078231
23,3.1354942159291497,34.8294201314036,3.3007747568279298,12,31.52864537457567
29,3.367295829986474,48.3129113806188,3.6488437092905914,24,44.66406767132821
31,3.4339872044851463,52.82002872300237,3.6488437092905914,24,49.171185013711785
37,3.6109179126442243,66.30736974046202,3.7363508522120408,36,62.57101888824998
41,3.713572066704308,75.24135318122116,3.7363508522120408,36,71.50500232900912
43,3.7612001156935624,79.68533263718815,3.7363508522120408,36,75.94898178497611
47,3.8501476017100584,88.52146612808039,3.7363508522120408,36,84.78511527586835
53,3.970291913552122,101.63560245496764,3.7363508522120408,36,97.8992516027556
59,4.07753744390572,114.57278427041925,3.7363508522120408,36,110.8364334182072
61,4.110873864173311,118.84516078799291,3.7363508522120408,36,115.10880993578087
67,4.204692619390966,131.54229926186142,3.7363508522120408,36,127.80594840964937
71,4.2626798770413155,139.9079667911822,3.7363508522120408,36,136.17161593897015
73,4.290459441148391,144.06147727715768,4.438550517664235,72,139.62292675949345
79,4.3694478524670215,156.40679161680094,4.438550517664235,72,151.96824109913672
83,4.418840607796598,164.5429259665286,4.438550517664235,72,160.10437544886437
89,4.48863636973214,176.6101659800784,4.438550517664235,72,172.17161546241417
97,4.574710978503383,192.45320950418815,4.438550517664235,72,188.01465898652393
101,4.61512051684126,200.2729317620877,4.438550517664235,72,195.83438124442347
103,4.634728988229636,204.15808973252337,4.438550517664235,72,199.71953921485914
107,4.672828834461906,211.8800436881999,4.438550517664235,72,207.44149317053567
109,4.6913478822291435,215.71724999733766,4.438550517664235,72,211.27869947967343
113,4.727387818712341,223.34512669321296,4.438550517664235,72,218.90657617554874
127,4.844187086458591,249.57425346515367,4.438550517664235,72,245.13570294748945
131,4.875197323201151,256.94049047558576,4.438550517664235,72,252.50193995792154
137,4.919980925828125,267.888516551137,4.438550517664235,72,263.4499660334728
139,4.9344739331306915,271.51148758016666,4.438550517664235,72,267.07293706250243
149,5.003946305945459,289.4355185696651,4.51647825466065,144,284.91904031500445
