start,end,q,old_bound,c_bound,old_margin,shell,shell_margin,combined_margin,total_base_candidates,total_critical_roots,total_candidates
1200000,1210000,0.91,1.3256357487064299,1.8891800374402155,0.3935180853641662,0.17782751443138634,0.022172485568613676,0.4156905709327799,48292,0,48292
1210000,1220000,0.91,1.0562610638569814,1.3543273507288764,0.1761768253062963,0.14583364743743535,0.05416635256256466,0.23034317786886097,48357,0,48357
1220000,1230000,0.91,1.19840700176173,1.3561670889915385,0.03570504922056994,0.1658611188469756,0.03413888115302441,0.06984393037359435,48605,0,48605
1230000,1240000,0.91,1.659031664272868,2.072574246442753,0.2270108999900371,0.22763985348092128,-0.027639853480921267,0.19937104650911583,48727,0,48727
1240000,1250000,0.91,1.3438835894817758,1.617496187690314,0.1280379413164101,0.1841514512444207,0.01584854875557931,0.14388649007198942,48889,0,48889
1250000,1260000,0.91,1.223901761200618,1.5589240956027013,0.1947191657978402,0.15335650938812154,0.046643490611878474,0.24136265640971868,49191,0,49191
1260000,1270000,0.91,1.2296806077150007,1.543169501530966,0.17460363867817863,0.16968023757722275,0.030319762422777258,0.2049234011009559,49189,0,49189
1270000,1280000,0.91,1.4759535898210996,1.9332610171002427,0.2833139357401213,0.19159583351251186,0.008404166487488152,0.29171810222760947,49457,0,49457
1280000,1290000,0.91,1.2325693148498844,1.5156365407379497,0.14665993722164994,0.15518611797029025,0.04481388202970976,0.1914738192513597,49574,0,49574
1290000,1300000,0.91,1.1076608125900125,1.4211616649888437,0.18559630254983528,0.14502281626101887,0.05497718373898114,0.24057348628881642,49591,0,49591
