# sieving up to 40200
# P	|E*(P)|	K3*_bound	K3*-Dusart_bound	dusart_lower_ok	K3*-Dusart_holds
79	0	59.25	56.99	True	True
83	0	62.25	59.90	True	True
89	0	66.75	64.27	True	True
97	0	72.75	70.10	True	True
101	0	75.75	73.01	True	True
103	0	77.25	74.47	True	True
107	0	80.25	77.39	True	True
109	0	81.75	78.85	True	True
113	0	84.75	81.76	True	True
127	0	95.25	91.97	True	True
131	0	98.25	94.89	True	True
137	0	102.75	99.27	True	True
139	0	104.25	100.73	True	True
149	0	111.75	108.03	True	True
151	0	113.25	109.49	True	True
157	0	117.75	113.87	True	True
163	0	122.25	118.25	True	True
167	0	125.25	121.17	True	True
173	0	129.75	125.55	True	True
179	0	134.25	129.94	True	True
181	0	135.75	131.40	True	True
191	0	143.25	138.70	True	True
193	0	144.75	140.17	True	True
197	0	147.75	143.09	True	True
199	0	149.25	144.55	True	True
# all_pass = True
