# sieving up to 40200
# P	|E*(P)|	3P/4	lhs=B.4_LHS	rhs=pi(P^2)-2	lhs>=rhs?	|E*|<3P/4?
5	0	3.75	31.07	7	True	True
7	0	5.25	50.36	13	True	True
11	0	8.25	100.92	28	True	True
13	0	9.75	131.78	37	True	True
17	0	12.75	204.01	59	True	True
19	0	14.25	245.21	70	True	True
23	0	17.25	337.43	97	True	True
29	0	21.75	499.51	144	True	True
31	0	23.25	559.70	160	True	True
37	0	27.75	758.26	217	True	True
41	0	30.75	905.33	261	True	True
43	0	32.25	983.20	281	True	True
47	0	35.25	1147.49	327	True	True
53	0	39.75	1415.01	407	True	True
59	0	44.25	1707.40	485	True	True
61	0	45.75	1810.32	517	True	True
67	0	50.25	2135.23	607	True	True
71	0	53.25	2365.18	673	True	True
73	0	54.75	2484.12	703	True	True
79	0	59.25	2856.65	809	True	True
83	0	62.25	3118.01	884	True	True
89	0	66.75	3529.36	998	True	True
97	0	72.75	4113.48	1161	True	True
101	0	75.75	4420.69	1250	True	True
103	0	77.25	4578.05	1292	True	True
107	0	80.25	4900.24	1379	True	True
109	0	81.75	5065.07	1421	True	True
113	0	84.75	5402.14	1521	True	True
127	0	95.25	6659.12	1875	True	True
131	0	98.25	7040.13	1974	True	True
137	0	102.75	7629.70	2139	True	True
139	0	104.25	7831.03	2188	True	True
149	0	111.75	8873.40	2487	True	True
151	0	113.25	9088.99	2545	True	True
157	0	117.75	9749.92	2727	True	True
163	0	122.25	10432.00	2913	True	True
167	0	125.25	10898.41	3041	True	True
173	0	129.75	11615.49	3239	True	True
179	0	134.25	12353.43	3434	True	True
181	0	135.75	12604.03	3510	True	True
191	0	143.25	13891.51	3866	True	True
193	0	144.75	14155.88	3943	True	True
197	0	147.75	14691.46	4087	True	True
199	0	149.25	14962.68	4162	True	True
# all_pass_B4 = True
# all_pass_K3* = True
