# sieving up to 250500
# P	|E(P)|	K3'_bound=3P/4-0.37	K3'''_bound=3P/4-P/(8logP)	C.1_LHS	C.1_RHS	C.1_OK	K3'''_holds?
79	0	58.88	56.99	2820.49	783.75	True	True
83	0	61.88	59.90	3080.45	855.38	True	True
89	0	66.38	64.27	3489.70	968.06	True	True
97	0	72.38	70.10	4071.08	1127.95	True	True
101	0	75.38	73.01	4376.92	1211.99	True	True
103	0	76.88	74.47	4533.60	1255.02	True	True
107	0	79.88	77.39	4854.45	1343.11	True	True
109	0	81.38	78.85	5018.60	1388.16	True	True
113	0	84.38	81.76	5354.33	1480.27	True	True
127	0	94.88	91.97	6606.68	1823.48	True	True
131	0	97.88	94.89	6986.38	1927.44	True	True
137	0	102.38	99.27	7574.01	2088.25	True	True
139	0	103.88	100.73	7774.69	2143.15	True	True
149	0	111.38	108.03	8813.84	2427.25	True	True
151	0	112.88	109.49	9028.80	2485.98	True	True
157	0	117.38	113.87	9687.82	2666.00	True	True
163	0	121.88	118.25	10368.00	2851.70	True	True
167	0	124.88	121.17	10833.15	2978.65	True	True
173	0	129.38	125.55	11548.35	3173.76	True	True
179	0	133.88	129.94	12284.41	3374.48	True	True
181	0	135.38	131.40	12534.39	3442.63	True	True
191	0	142.88	138.70	13818.78	3792.63	True	True
193	0	144.38	140.17	14082.53	3864.47	True	True
197	0	147.38	143.09	14616.89	4010.00	True	True
199	0	148.88	144.55	14887.49	4083.68	True	True
211	0	157.88	153.32	16558.73	4538.55	True	True
223	0	166.88	162.09	18311.24	5015.21	True	True
227	0	169.88	165.02	18913.35	5178.91	True	True
229	0	171.38	166.48	19217.77	5261.65	True	True
233	0	174.38	169.41	19833.29	5428.94	True	True
239	0	178.88	173.79	20773.26	5684.34	True	True
241	0	180.38	175.26	21091.03	5770.67	True	True
251	0	187.88	182.57	22713.07	6211.18	True	True
257	0	192.38	186.96	23712.78	6482.57	True	True
263	0	196.88	191.35	24732.27	6759.27	True	True
269	0	201.38	195.74	25771.48	7041.24	True	True
271	0	202.88	197.20	26122.26	7136.39	True	True
277	0	207.38	201.59	27187.68	7425.38	True	True
281	0	210.38	204.52	27908.85	7620.94	True	True
283	0	211.88	205.98	28272.70	7719.60	True	True
293	0	219.38	213.30	30124.44	8221.57	True	True
307	0	229.88	223.55	32807.58	8948.57	True	True
311	0	232.88	226.48	33593.55	9161.46	True	True
313	0	234.38	227.94	33989.75	9268.77	True	True
317	0	237.38	230.87	34788.58	9485.10	True	True
331	0	247.88	241.12	37651.77	10260.22	True	True
337	0	252.38	245.51	38910.79	10600.94	True	True
347	0	259.88	252.83	41051.58	11180.14	True	True
349	0	261.38	254.30	41486.08	11297.68	True	True
353	0	264.38	257.23	42361.43	11534.44	True	True
359	0	268.88	261.62	43690.28	11893.81	True	True
367	0	274.88	267.48	45491.54	12380.83	True	True
373	0	279.38	271.88	46864.53	12751.99	True	True
379	0	283.88	276.27	48256.38	13128.17	True	True
383	0	286.88	279.20	49194.73	13381.75	True	True
389	0	291.38	283.60	50617.92	13766.29	True	True
397	0	297.38	289.46	52544.68	14286.80	True	True
401	0	300.38	292.39	53520.53	14550.38	True	True
409	0	306.38	298.25	55497.14	15084.18	True	True
419	0	313.88	305.58	58014.49	15763.85	True	True
421	0	315.38	307.04	58524.16	15901.44	True	True
431	0	322.88	314.37	61103.43	16597.62	True	True
433	0	324.38	315.83	61625.46	16738.50	True	True
439	0	328.88	320.23	63203.88	17164.44	True	True
443	0	331.88	323.16	64266.43	17451.13	True	True
449	0	336.38	327.56	65875.63	17885.27	True	True
457	0	342.38	333.42	68049.88	18471.75	True	True
461	0	345.38	336.35	69149.27	18768.26	True	True
463	0	346.88	337.82	69702.02	18917.33	True	True
467	0	349.88	340.75	70813.65	19217.10	True	True
479	0	358.88	349.55	74197.38	20129.42	True	True
487	0	364.88	355.41	76493.83	20748.45	True	True
491	0	367.88	358.35	77654.21	21061.21	True	True
499	0	373.88	364.21	79999.28	21693.19	True	True
# all_pass_Dusart_lower = True
# all_pass_C1 = True
# all_pass_K3''' = True
