# sieving up to 40200
# P	|E(P)|	3P/4	lhs=A.4_LHS	rhs=pi(P^2)-pi(P)	lhs>=rhs?	|E|<3P/4?
5	0	3.75	24.85	6	True	True
7	0	5.25	43.17	11	True	True
11	0	8.25	91.75	25	True	True
13	0	9.75	121.64	33	True	True
17	0	12.75	192.01	54	True	True
19	0	14.25	232.30	64	True	True
23	0	17.25	322.76	90	True	True
29	0	21.75	482.29	136	True	True
31	0	23.25	541.64	151	True	True
37	0	27.75	737.76	207	True	True
41	0	30.75	883.25	250	True	True
43	0	32.25	960.33	269	True	True
47	0	35.25	1123.07	314	True	True
53	0	39.75	1388.31	393	True	True
59	0	44.25	1678.46	470	True	True
61	0	45.75	1780.64	501	True	True
67	0	50.25	2103.36	590	True	True
71	0	53.25	2331.87	655	True	True
73	0	54.75	2450.09	684	True	True
79	0	59.25	2820.49	789	True	True
83	0	62.25	3080.45	863	True	True
89	0	66.75	3489.70	976	True	True
97	0	72.75	4071.08	1138	True	True
101	0	75.75	4376.92	1226	True	True
103	0	77.25	4533.60	1267	True	True
107	0	80.25	4854.45	1353	True	True
109	0	81.75	5018.60	1394	True	True
113	0	84.75	5354.33	1493	True	True
127	0	95.25	6606.68	1846	True	True
131	0	98.25	6986.38	1944	True	True
137	0	102.75	7574.01	2108	True	True
139	0	104.25	7774.69	2156	True	True
149	0	111.75	8813.84	2454	True	True
151	0	113.25	9028.80	2511	True	True
157	0	117.75	9687.82	2692	True	True
163	0	122.25	10368.00	2877	True	True
167	0	125.25	10833.15	3004	True	True
173	0	129.75	11548.35	3201	True	True
179	0	134.25	12284.41	3395	True	True
181	0	135.75	12534.39	3470	True	True
191	0	143.25	13818.78	3825	True	True
193	0	144.75	14082.53	3901	True	True
197	0	147.75	14616.89	4044	True	True
199	0	149.25	14887.49	4118	True	True
# all_pass_A4 = True
# all_pass_K3' = True
