# sieving up to 90300
# P	|E|	K=0_bound	K=1_bound	K=2_bound	K=3_bound	actual_saving_K=3 vs K=2
101	0	90.0577	88.8722	88.6154	88.5319	0.0835
103	0	91.8882	90.6895	90.4308	90.3471	0.0837
107	0	95.5508	94.3258	94.0636	93.9794	0.0842
109	0	97.3829	96.1447	95.8808	95.7964	0.0844
113	0	101.0484	99.7843	99.5169	99.4320	0.0848
127	0	113.8915	112.5385	112.2592	112.1727	0.0865
131	0	117.5646	116.1867	115.9041	115.8171	0.0870
137	0	123.0772	121.6623	121.3747	121.2870	0.0877
139	0	124.9154	123.4883	123.1990	123.1111	0.0879
149	0	134.1118	132.6241	132.3268	132.2377	0.0891
151	0	135.9520	134.4524	134.1535	134.0641	0.0894
157	0	141.4746	139.9394	139.6357	139.5457	0.0901
163	0	147.0000	145.4294	145.1211	145.0303	0.0908
167	0	150.6850	149.0911	148.7797	148.6884	0.0913
173	0	156.2146	154.5860	154.2700	154.1780	0.0920
179	0	161.7466	160.0836	159.7630	159.6703	0.0927
181	0	163.5911	161.9167	161.5946	161.5017	0.0929
191	0	172.8174	171.0865	170.7569	170.6628	0.0941
193	0	174.6634	172.9212	172.5902	172.4958	0.0944
197	0	178.3560	176.5916	176.2576	176.1628	0.0948
199	0	180.2027	178.4271	178.0917	177.9966	0.0951
211	0	191.2872	189.4455	189.1014	189.0050	0.0964
223	0	202.3792	200.4724	200.1198	200.0220	0.0978
227	0	206.0781	204.1498	203.7944	203.6961	0.0983
229	0	207.9279	205.9889	205.6320	205.5335	0.0985
233	0	211.6279	209.6676	209.3079	209.2090	0.0990
239	0	217.1793	215.1871	214.8233	214.7237	0.0996
241	0	219.0302	217.0274	216.6622	216.5624	0.0999
251	0	228.2869	226.2316	225.8596	225.7587	0.1010
257	0	233.8430	231.7564	231.3804	231.2788	0.1016
263	0	239.4005	237.2829	236.9028	236.8005	0.1023
269	0	244.9594	242.8109	242.4269	242.3239	0.1030
271	0	246.8127	244.6540	244.2686	244.1654	0.1032
277	0	252.3735	250.1841	249.7948	249.6909	0.1038
281	0	256.0814	253.8716	253.4797	253.3755	0.1043
283	0	257.9356	255.7157	255.3225	255.2180	0.1045
293	0	267.2085	264.9382	264.5385	264.4330	0.1055
# all_pass_K_term_Li_K=3 = True
