# sieving up to 40200
# P	|E|	|E*|	K3-trivial_bound	actual_diff	row_ok	col_ok
7	0	0	5.2014	1.5714	True	True
11	0	0	8.7063	2.2727	True	True
13	0	0	10.4658	2.5385	True	True
17	0	0	13.9999	3.1765	True	True
19	0	0	15.7736	3.3684	True	True
23	0	0	19.3323	3.9130	True	True
29	0	0	24.6939	4.6897	True	True
31	0	0	26.4863	4.8710	True	True
37	0	0	31.8766	5.5946	True	True
41	0	0	35.4797	6.0976	True	True
43	0	0	37.2837	6.2558	True	True
47	0	0	40.8963	6.6809	True	True
53	0	0	46.3254	7.4151	True	True
59	0	0	51.7652	7.9661	True	True
61	0	0	53.5807	8.2131	True	True
67	0	0	59.0327	8.8060	True	True
71	0	0	62.6719	9.2254	True	True
73	0	0	64.4928	9.3699	True	True
79	0	0	69.9600	9.9873	True	True
83	0	0	73.6084	10.3976	True	True
89	0	0	79.0861	10.9663	True	True
97	0	0	86.3982	11.7320	True	True
101	0	0	90.0577	12.1386	True	True
103	0	0	91.8882	12.3010	True	True
107	0	0	95.5508	12.6449	True	True
109	0	0	97.3829	12.7890	True	True
113	0	0	101.0484	13.2124	True	True
127	0	0	113.8915	14.5354	True	True
131	0	0	117.5646	14.8397	True	True
137	0	0	123.0772	15.3869	True	True
139	0	0	124.9154	15.5108	True	True
149	0	0	134.1118	16.4698	True	True
151	0	0	135.9520	16.6291	True	True
157	0	0	141.4746	17.1465	True	True
163	0	0	147.0000	17.6503	True	True
167	0	0	150.6850	17.9880	True	True
173	0	0	156.2146	18.5029	True	True
179	0	0	161.7466	18.9665	True	True
181	0	0	163.5911	19.1713	True	True
191	0	0	172.8174	20.0262	True	True
193	0	0	174.6634	20.2124	True	True
197	0	0	178.3560	20.5279	True	True
199	0	0	180.2027	20.6935	True	True
# all_ok_K3_trivial_row = True
# all_ok_K3_trivial_col = True
